                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87351,                 1.8458,                  1.215,                0.59266,                0.63346,                0.64613,                0.46706,                0.94128,                 1.5364,                 1.2921,             0.00020747,             0.00020747,             0.00020747
                      2,                0.92852,                 1.4143,                  1.236,                0.65521,                 0.5374,                0.60236,                0.41572,                 1.0375,                 1.6386,                 1.3961,             0.00040757,             0.00040757,             0.00040757
                      3,                0.93524,                 1.3803,                 1.2404,                0.60154,                0.62613,                0.63896,                0.43841,                 1.0245,                 1.5739,                 1.3442,             0.00059942,             0.00059942,             0.00059942
                      4,                0.93573,                 1.3399,                 1.2379,                0.66537,                0.71106,                 0.7465,                0.53902,                0.95202,                 1.2928,                 1.3001,             0.00058787,             0.00058787,             0.00058787
                      5,                0.91483,                 1.2082,                  1.218,                0.69555,                0.71353,                0.78321,                0.57974,                0.90958,                 1.1247,                 1.2617,             0.00058787,             0.00058787,             0.00058787
                      6,                0.88631,                  1.111,                 1.2045,                0.75431,                0.72981,                0.79059,                0.58489,                0.90384,                 1.0215,                  1.258,              0.0005755,              0.0005755,              0.0005755
                      7,                0.87452,                 1.0648,                 1.1914,                 0.7512,                0.64873,                0.76248,                0.56774,                0.89482,                 1.1425,                 1.2468,             0.00056313,             0.00056313,             0.00056313
                      8,                0.86119,                 1.0015,                 1.1755,                0.76258,                0.76961,                0.82393,                0.62933,                0.84332,                0.94958,                  1.175,             0.00055075,             0.00055075,             0.00055075
                      9,                0.84008,                 0.9939,                 1.1741,                0.81234,                0.76398,                 0.8454,                 0.6496,                0.84949,                 0.8805,                 1.2096,             0.00053838,             0.00053838,             0.00053838
                     10,                0.82974,                0.93359,                 1.1562,                0.83014,                0.78901,                 0.8772,                0.67727,                0.82775,                0.77285,                 1.1733,               0.000526,               0.000526,               0.000526
                     11,                0.82336,                0.91512,                 1.1571,                0.85567,                0.84876,                0.90396,                0.70753,                0.80297,                0.66199,                 1.1482,             0.00051363,             0.00051363,             0.00051363
                     12,                0.80459,                0.85849,                  1.141,                0.84434,                0.81531,                0.89412,                0.69912,                0.82031,                0.69816,                 1.1529,             0.00050125,             0.00050125,             0.00050125
                     13,                 0.7897,                0.83374,                 1.1343,                0.82902,                0.83165,                0.89579,                0.69568,                0.81795,                 0.7313,                 1.1598,             0.00048888,             0.00048888,             0.00048888
                     14,                0.79025,                0.81067,                 1.1369,                0.82332,                0.82079,                 0.8971,                0.71079,                0.78183,                0.72088,                  1.133,              0.0004765,              0.0004765,              0.0004765
                     15,                0.78446,                0.78234,                 1.1337,                0.85899,                0.86027,                0.91639,                0.72751,                0.77684,                0.62116,                 1.1383,             0.00046413,             0.00046413,             0.00046413
                     16,                 0.7671,                 0.7681,                 1.1222,                 0.8742,                0.82951,                0.90928,                0.72393,                0.76757,                0.64533,                  1.119,             0.00045175,             0.00045175,             0.00045175
                     17,                0.76639,                0.73341,                 1.1158,                0.85263,                0.82585,                0.91597,                0.73067,                0.76595,                0.64418,                 1.1069,             0.00043937,             0.00043937,             0.00043937
                     18,                0.75822,                0.73563,                 1.1133,                0.90015,                0.85416,                0.92709,                0.73707,                0.77972,                0.58565,                 1.1299,               0.000427,               0.000427,               0.000427
                     19,                0.75565,                0.69264,                 1.1026,                0.88434,                0.85508,                0.92379,                0.73663,                0.76635,                0.59017,                 1.1162,             0.00041462,             0.00041462,             0.00041462
                     20,                0.75166,                0.69059,                 1.1123,                0.88488,                0.89044,                0.93656,                0.75515,                0.74815,                0.54233,                 1.1008,             0.00040225,             0.00040225,             0.00040225
                     21,                 0.7458,                0.67527,                 1.0975,                0.89209,                 0.8747,                0.93497,                0.75605,                0.74822,                 0.5253,                 1.1012,             0.00038988,             0.00038988,             0.00038988
                     22,                0.72507,                0.63426,                 1.0906,                  0.875,                0.86428,                 0.9252,                0.74277,                0.75314,                0.58272,                 1.0972,              0.0003775,              0.0003775,              0.0003775
                     23,                0.73521,                0.63506,                 1.0932,                0.88459,                0.88292,                 0.9363,                0.76338,                0.73789,                0.52536,                 1.0905,             0.00036513,             0.00036513,             0.00036513
                     24,                 0.7176,                0.61073,                 1.0855,                0.88525,                0.87932,                 0.9322,                 0.7565,                0.74119,                0.53042,                  1.101,             0.00035275,             0.00035275,             0.00035275
                     25,                0.71966,                0.60737,                 1.0889,                0.90508,                0.88642,                0.94347,                0.77384,                0.73095,                0.48848,                 1.0839,             0.00034038,             0.00034038,             0.00034038
                     26,                0.71492,                0.59783,                 1.0861,                0.90099,                0.89297,                0.94068,                0.76303,                0.74254,                 0.5028,                 1.0955,               0.000328,               0.000328,               0.000328
                     27,                0.71445,                0.58291,                 1.0887,                0.91323,                0.89281,                0.94531,                0.77297,                0.74297,                0.49394,                 1.0981,             0.00031562,             0.00031562,             0.00031562
                     28,                0.70677,                0.57874,                 1.0799,                0.90707,                 0.8867,                0.94033,                 0.7681,                0.72969,                 0.5044,                 1.0903,             0.00030325,             0.00030325,             0.00030325
                     29,                0.70412,                 0.5709,                 1.0787,                  0.903,                0.89303,                0.94552,                0.77879,                0.72196,                0.47232,                 1.0883,             0.00029088,             0.00029088,             0.00029088
                     30,                0.69034,                0.54139,                  1.072,                0.91514,                0.89228,                0.94523,                0.77705,                0.73195,                 0.4802,                 1.0888,              0.0002785,              0.0002785,              0.0002785
                     31,                0.68769,                0.54305,                 1.0682,                0.90873,                0.90918,                0.95657,                0.78994,                0.71766,                0.45046,                 1.0759,             0.00026613,             0.00026613,             0.00026613
                     32,                0.68144,                0.52226,                  1.067,                0.90639,                0.89681,                0.94882,                0.78228,                0.71982,                0.47384,                 1.0792,             0.00025375,             0.00025375,             0.00025375
                     33,                0.68894,                0.52483,                 1.0669,                0.90337,                0.89255,                0.94313,                0.77725,                0.72875,                0.48868,                  1.081,             0.00024137,             0.00024137,             0.00024137
                     34,                0.66913,                0.50909,                  1.053,                0.91791,                0.90266,                0.94934,                0.78514,                0.72165,                0.45933,                 1.0725,               0.000229,               0.000229,               0.000229
                     35,                0.67666,                 0.4989,                 1.0514,                 0.9175,                0.89899,                0.95044,                0.79345,                0.71012,                0.44462,                 1.0595,             0.00021662,             0.00021662,             0.00021662
                     36,                0.66485,                0.48599,                 1.0511,                0.93262,                0.90971,                0.95695,                0.79397,                0.71529,                0.43059,                 1.0727,             0.00020425,             0.00020425,             0.00020425
                     37,                0.65437,                0.47618,                 1.0446,                0.91818,                0.89939,                0.95197,                0.78981,                 0.7227,                0.44303,                   1.09,             0.00019188,             0.00019188,             0.00019188
                     38,                0.64613,                0.45817,                 1.0433,                0.92302,                0.90721,                0.95619,                 0.7976,                0.70946,                0.42475,                 1.0699,              0.0001795,              0.0001795,              0.0001795
                     39,                0.64832,                 0.4606,                 1.0457,                0.91847,                0.90667,                0.95414,                0.79639,                0.70659,                 0.4392,                  1.071,             0.00016713,             0.00016713,             0.00016713
                     40,                0.64275,                0.45776,                 1.0386,                0.91513,                0.91938,                0.95598,                 0.7997,                0.70935,                0.42274,                 1.0715,             0.00015475,             0.00015475,             0.00015475
                     41,                0.58243,                0.34883,                0.97478,                0.91794,                0.91354,                0.95367,                0.79394,                0.70902,                0.43507,                 1.0663,             0.00014237,             0.00014237,             0.00014237
                     42,                0.57587,                0.34266,                0.97002,                0.91613,                0.90468,                 0.9484,                0.79674,                0.70826,                 0.4419,                 1.0686,                0.00013,                0.00013,                0.00013
                     43,                0.57417,                0.33485,                0.97305,                0.92535,                0.91298,                0.95476,                0.79997,                0.70834,                 0.4211,                 1.0755,             0.00011763,             0.00011763,             0.00011763
                     44,                0.56702,                0.31878,                0.97356,                0.91919,                0.91378,                0.95602,                0.80358,                0.70366,                0.41787,                 1.0771,             0.00010525,             0.00010525,             0.00010525
                     45,                0.55472,                0.31011,                0.96436,                0.93521,                0.90474,                0.95859,                0.80839,                0.70291,                 0.4101,                 1.0692,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.55138,                0.30017,                0.96419,                0.93173,                0.90775,                0.95581,                0.80653,                0.69847,                0.41739,                 1.0714,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.54301,                0.29391,                0.95397,                0.91948,                0.91208,                0.95493,                0.80965,                0.70059,                0.41475,                 1.0723,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.53372,                 0.2816,                0.94711,                0.92891,                0.91016,                0.95354,                 0.8073,                0.69662,                 0.4159,                  1.066,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.52799,                0.27572,                0.94342,                0.92293,                0.91434,                0.95451,                0.80932,                0.69329,                0.41803,                 1.0646,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     50,                  0.523,                0.26938,                0.94146,                0.93189,                0.90502,                0.95717,                0.81335,                0.69488,                0.40882,                 1.0702,                3.1e-05,                3.1e-05,                3.1e-05
